Model,Domain,Task,Organization,Authors,Publication date,Reference,Link,Citations,Notability criteria,Notability criteria notes,Parameters,Parameters notes,Training compute (FLOP),Training compute notes,Training dataset size (total),Dataset size notes,Training time (hours),Training time notes,Training hardware,Approach,Confidence,Abstract,Epochs,WikiText and Penn Treebank data,Model accessibility,Country (of organization),Base model,Finetune compute (FLOP),Finetune compute notes,Hardware quantity,Hardware utilization (MFU),Last modified,Training cloud compute vendor,Training data center,Archived links,Batch size,Batch size notes,Organization categorization,Foundation model,Training compute lower bound,Training compute upper bound,Training chip-hours,Training code accessibility,Accessibility notes,Possibly over 1e23 FLOP,Training compute cost (2023 USD),Utilization notes,Numerical format,Frontier model,Training power draw (W),Training compute estimation method,Hugging Face developer id,Post-training compute (FLOP),Post-training compute notes,Hardware utilization (HFU),Open model weights?
A.X K2,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion",SK Telecom,,2026-07-29,A.X K2 Technical Report,"https://huggingface.co/skt/A.X-K2
https://github.com/SKT-AI/A.X-K2/blob/main/A_X_K2_Tech_Report.pdf",,Training cost,"Developer-reported training compute cost of ~$12.4M (2023 USD), communicated by SK Telecom via email (July 2026); exceeds the training cost threshold. Underlying cost calculation not yet provided.",688000000000.0,"MoE architecture, total parameters 688B, active parameters 33B (61 layers: 1 dense + 60 MoE; 256 routed experts + 1 shared, 8 active per token)",1.8e+24,"~1.8e24 FLOP reported by SK Telecom via email (July 2026).

Cross-check by operation counting: 6 * 33e9 active parameters * 8.5e12 tokens = 1.68e24 FLOP, consistent with the reported figure.

Per the technical report, ~8.2T of the 8.5T tokens were used in pre-training (512 B200 GPUs, ~70 days), with the remainder in post-training.",,Approximately 8.5T tokens in total: ~8.2T in pre-training (Stage 1 general knowledge: 6.4T; Stage 2 high-quality reasoning: 1.4T; long-context stages 3A-3C: ~0.36T) and the remainder in post-training. ,1680.0,"Pre-training ran for approximately 70 days (~1,680 hours) on 512 NVIDIA B200 GPUs (64 nodes of 8), i.e. ~860,000 GPU-hours.",,,Confident,"We introduce A.X K2, a 688B-parameter Mixture-of-Experts (MoE) language model trained from scratch as a high-performance foundation for agentic applications. A.X K2 is trained on approximately 8.5T tokens in total—fewer than its predecessor, A.X K1—by prioritizing a smaller but higher-quality data mixture; it nonetheless improves substantially over A.X K1 across the board—by over 30 percentage points on some benchmarks—reflecting substantial gains in token efficiency from an improved multi-stage data-processing pipeline. To support long contexts efficiently, we introduce Sparse Gated Attention (SGA), which combines sparse attention with gated attention, and adopt Gated Norm to stabilize large-scale training. To strengthen agentic capability, we substantially expand agentic and software-engineering data and extend the usable context length, enabling multi-step tool use and long-horizon task execution. A.X K2 further supports explicitly controllable reasoning through a simple yet effective Think-Fusion training recipe, enabling user-controlled switching between thinking and non-thinking modes within a single unified model. Extensive evaluations demonstrate that A.X K2 performs competitively against strong open-weight baselines, matching or exceeding them on math and Korean-language benchmarks.",,,Open weights (unrestricted),South Korea,,,,,,2026-09-03 19:49:20+00:00,,,,,,Industry,,,,,,Released under Apache 2.0 on Hugging Face.,,12400000.0,,,,,Reported,skt,,,,Yes
A.X K1,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion",SK Telecom,"Sung Jun Cheon, Jaekyung Cho, Seongho Choi, Hyunjun Eun, Seokhwan Jo, Jaehyun Jun, Minsoo Kang, Jin Kim, Jiwon Kim, Minsang Kim, Seungsik Kim, Sungwan Kim, Tae Yoon Kim, Youngrang Kim, Hyeongmun Lee, Sangyeol Lee, Sungeun Lee, Youngsoon Lee, Yujin Lee, Seongmin Ok, Chanyong Park, Hyewoong Park, Junyoung Park, Hyunho Yang, Subin Yi, Dhammiko Arya, Soohyun Bae, Dongyeon Cho, Seungmo Cho, Sangho Choi, Yongseok Choi, Gyoungeun Han, Yong-jin Han, Seokyoung Hong, Hyeon Hwang, Wonbeom Jang, Minjeong Ju, Wonjin Jung, Keummin Ka, Sungil Kang, Dongnam Kim, Jonghwi Kim, Joonghoon Kim, SaeRom Kim, Sangjin Kim, Seongwon Kim, Youngjin Kim, Seojin Lee, Sunwoo Lee, Taehoon Lee, Chanwoo Park, Sohee Park, Sooyeon Park, Yohan Ra, Sereimony Sek, Seungyeon Seo, Gun Song, Sanghoon Woo, Janghan Yoon, Sungbin Yoon",2025-12-30,A.X K1 Technical Report,"https://arxiv.org/abs/2601.09200 

https://huggingface.co/skt/A.X-K1 ",,Training cost,,519000000000.0,"MoE Architecture, Total parameters 519B, Active parameters 33B",,,,,1536.0,"GPU hours (1,536 GPUs)",NVIDIA H200,,Confident,"We introduce A.X K1, a 519B-parameter Mixture-of-Experts (MoE) language model trained from scratch. Our design leverages scaling laws to optimize training configurations and vocabulary size under fixed computational budgets. A.X K1 is pre-trained on a corpus of approximately 10T tokens, curated by a multi-stage data processing pipeline. Designed to bridge the gap between reasoning capability and inference efficiency, A.X K1 supports explicitly controllable reasoning to facilitate scalable deployment across diverse real-world scenarios. We propose a simple yet effective Think-Fusion training recipe, enabling user-controlled switching between thinking and non-thinking modes within a single unified model. Extensive evaluations demonstrate that A.X K1 achieves performance competitive with leading open-source models, while establishing a distinctive advantage in Korean-language benchmarks.",,,Open weights (unrestricted),South Korea,,,,1536.0,0.283,2026-09-03 19:51:56+00:00,,,,18432.0,"ramp up from 2,048, step size 1,024",Industry,,,,,,Apache-2.0 license,,9642947.0,,BF16,,,,,,,0.927,Yes
Grok 4,"Language,Multimodal,Vision","Language modeling/generation,Question answering,Search,Visual question answering,Character recognition (OCR),Image captioning,Quantitative reasoning",xAI,,2025-07-09,Grok 4,https://x.ai/news/grok-4,,Training cost,,3000000000000.0,Rumored to be 2.4T params (https://x.com/kalomaze/status/1942996555088134592),5.0000000000001e+26,"We think that RL relative to pre-compute is between our estimate for o3 (10% of pre-training) and the 100% implied by this slide in the launch ( https://archive.is/f0vJU ). Assuming the same pre-training as Grok 3 (also implied by that slide, and much more consistent) and that Grok 3 used a tenth as much RL, we get:

2 * (grok3/1.1) in the high case (rl is 10% of grok 3, so grok3/1.1 is grok3 precompute, and in this case twice that is grok 4)
1.1 * (grok3/1.01) in the low case
The geometric mean is (rounded to one sig fig): 5e26
",,,,,,,Speculative,"Grok 4 is the most intelligent model in the world. It includes native tool use and real-time search integration, and is available now to SuperGrok and Premium+ subscribers, as well as through the xAI API. We are also introducing a new SuperGrok Heavy tier with access to Grok 4 Heavy - the most powerful version of Grok 4.",,,API access,United States of America,,,,200000.0,,2026-02-11 19:20:31+00:00,,"""we utilized Colossus, our 200,000 GPU cluster, to run reinforcement learning training that refines Grok's reasoning abilities at pretraining scale""",,,,Industry,,,,,Unreleased,,True,387842678.0863615,,,True,,Comparison with other models,,,,,No
DeepSeek-R1 (May 2025),Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",DeepSeek,,2025-05-28,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,https://api-docs.deepseek.com/news/news250120,,"Training cost,SOTA improvement","Best score on SuperCLUE Math6o in Jan 2025
https://www.superclueai.com/",671000000000.0,"671B total
37B activated
https://github.com/deepseek-ai/DeepSeek-R1/tree/main",4.020010000000001e+24,"Estimates by Ege Erdil in Gradient Updates:
https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1
""A dataset size of 14.8 trillion tokens is reasonable and in line with other models of this scale. Assuming that’s valid, the pretraining of this model would have required 6 * (37 billion) * (14.8 trillion) = 3e24 FLOP. If we assume DeepSeek’s training cluster consists of H800s with the PCIe form factor, then each should be capable of 1.5e15 FP8 per second, and the implied model FLOP utilization (MFU) of DeepSeek v3’s 55 day training run ends up being around 23%.""

6 FLOP/token/param * 14.8T tokens * 37B active params = 3.29e24 FLOP (pretraining)
1.2e23 FLOP (post-training)
6.1e23 FLOP (fine-tuning)

Total compute: 3.29e24 + 1.2e23 + 6.1e23 = 4.02e24",14800000000000,,,,,,Confident,"We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities.
Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.",,,Open weights (unrestricted),China,DeepSeek-V3,6.1e+23,6.1e23 FLOP from these estimations: https://epoch.ai/gradient-updates/what-went-into-training-deepseek-r1,,,2026-02-11 19:35:05+00:00,,,,,,Industry,,,,,Unreleased,"MIT licensed
https://huggingface.co/deepseek-ai/DeepSeek-R1",True,6770000.0,,FP8,,,Operation counting,deepseek-ai,,,,Yes
Trillion-7B,Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning",Trillion Labs,"Sungjun Han, Juyoung Suk, Suyeong An, Hyungguk Kim, Kyuseok Kim, Wonsuk Yang, Seungtaek Choi, Jamin Shin",2025-04-21,Trillion 7B Technical Report,https://arxiv.org/abs/2504.15431,,,,7000000000.0,7B,9.3e+22,"~9.3×10²² FLOPs (reported)

6 FLOP/parameter/token * 7000000000 parameters * 2000000000000 tokens = 8.4e+22 FLOP

989400000000000 FLOP/GPU/sec * 59400 GPU-hours * 3600 sec / hour * 0.4250 [reported utilization] = 8.9918651e+22 FLOP",2000000000000,"""The pretraining corpus for Trillion comprises approximately 2T tokens spanning English, multilingual, mathematical, and coding domains.""",,"""Trillion 7B model was trained using 256 H100 GPUs, each with 80GB HBM3, using mixed precision training with BF16""

""We achieve HFU and MFU of 47.5% and 42.5% respectively.""",NVIDIA H100 SXM5 80GB,,Confident,"We introduce Trillion-7B, the most token-efficient Korean-centric multilingual LLM available. Our novel Cross-lingual Document Attention (XLDA) mechanism enables highly efficient and effective knowledge transfer from English to target languages like Korean and Japanese. Combined with optimized data mixtures, language-specific filtering, and tailored tokenizer construction, Trillion-7B achieves competitive performance while dedicating only 10\% of its 2T training tokens to multilingual data and requiring just 59.4K H100 GPU hours ($148K) for full training. Comprehensive evaluations across 27 benchmarks in four languages demonstrate Trillion-7B's robust multilingual performance and exceptional cross-lingual consistency.",,,Open weights (unrestricted),South Korea,,,,256.0,0.425,2025-11-28 11:52:13+00:00,,,,,,Industry,,,,59400.0,Unreleased,"Apache 2.0
https://huggingface.co/trillionlabs/Trillion-7B-preview",,139200.0,,BF16,,351342.43087893666,"Reported,Operation counting,Hardware",rillionlabs,,,,Yes
Llama 4 Behemoth (preview),"Multimodal,Language,Vision","Chat,Code generation,Visual question answering,Translation,Language modeling/generation,Quantitative reasoning,Question answering",Meta AI,,2025-04-05,The Llama 4 herd: The beginning of a new era of natively multimodal AI innovation,https://ai.meta.com/blog/llama-4-multimodal-intelligence/,,Training cost,,2000000000000.0,"""Llama 4 Behemoth, a 288 billion active parameter model with 16 experts that is our most powerful yet and among the world’s smartest LLMs.""",5.18400000000001e+25,"Behemoth's training dataset is at least 30T tokens:
https://ai.meta.com/blog/llama-4-multimodal-intelligence/ 

6 FLOP / parameter / token * 288 * 10^9 activated parameters * 30 * 10^12 tokens = 5.184e+25 FLOP",30000000000000,"""The overall data mixture for training consisted of more than 30 trillion tokens, which is more than double the Llama 3 pre-training mixture and includes diverse text, image, and video datasets.""",,"Based on the model cards for Llama 4 Scout and Maverick, they seem to be using H100-80GB GPUs, despite the article saying that 390 TFLOPS/GPU was a high MFU (it is high throughput, but <20% MFU in FP8).",NVIDIA H100 SXM5 80GB,,Likely,"We’re sharing the first models in the Llama 4 herd, which will enable people to build more personalized multimodal experiences.
...
Llama 4 Behemoth, a 288 billion active parameter model with 16 experts that is our most powerful yet and among the world’s smartest LLMs. Llama 4 Behemoth outperforms GPT-4.5, Claude Sonnet 3.7, and Gemini 2.0 Pro on several STEM benchmarks. Llama 4 Behemoth is still training, and we’re excited to share more details about it even while it’s still in flight.
Download the Llama 4 Scout and Llama 4 Maverick models today on llama.com and Hugging Face. Try Meta AI built with Llama 4 in WhatsApp, Messenger, Instagram Direct, and on the web.",,,Unreleased,United States of America,,,,32000.0,,2026-09-03 19:53:54+00:00,,,,,,Industry,,,,,Unreleased,"""While we’re not yet releasing Llama 4 Behemoth as it is still training""",True,44588963.624007165,,,True,43933454.99810563,Operation counting,,,,,No
DeepSeek-V3 (Mar 2025),Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",DeepSeek,"DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Bingxuan Wang, Bochao Wu, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Daya Guo, Dejian Yang, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Haowei Zhang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Li, Hui Qu, J.L. Cai, Jian Liang, Jianzhong Guo, Jiaqi Ni, Jiashi Li, Jiawei Wang, Jin Chen, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, Junxiao Song, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Lei Xu, Leyi Xia, Liang Zhao, Litong Wang, Liyue Zhang, Meng Li, Miaojun Wang, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingming Li, Ning Tian, Panpan Huang, Peiyi Wang, Peng Zhang, Qiancheng Wang, Qihao Zhu, Qinyu Chen, Qiushi Du, R.J. Chen, R.L. Jin, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, Runxin Xu, Ruoyu Zhang, Ruyi Chen, S.S. Li, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shaoqing Wu, Shengfeng Ye, Shengfeng Ye, Shirong Ma, Shiyu Wang, Shuang Zhou, Shuiping Yu, Shunfeng Zhou, Shuting Pan, T. Wang, Tao Yun, Tian Pei, Tianyu Sun, W.L. Xiao, Wangding Zeng et al. (100 additional authors not shown)",2025-03-24,DeepSeek-V3 Technical Report,https://arxiv.org/abs/2412.19437,,Training cost,training cost was $5.3million USD (Table 1),671000000000.0,Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",14800000000000,"""We pre-train DeepSeek-V3 on 14.8 trillion diverse and high-quality tokens, followed by Supervised Fine-Tuning and Reinforcement Learning stages to fully harness its capabilities""",,"""DeepSeek-V3 requires only 2.788M H800 GPU hours for its full training""",NVIDIA H800 SXM5,,Confident,"We present DeepSeek-V3, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token. To achieve efficient inference and cost-effective training, DeepSeek-V3 adopts Multi-head Latent Attention (MLA) and DeepSeekMoE architectures, which were thoroughly validated in DeepSeek-V2. Furthermore, DeepSeek-V3 pioneers an auxiliary-loss-free strategy for load balancing and sets a multi-token prediction training objective for stronger performance. We pre-train DeepSeek-V3 on 14.8 trillion diverse and high-quality tokens, followed by Supervised Fine-Tuning and Reinforcement Learning stages to fully harness its capabilities. Comprehensive evaluations reveal that DeepSeek-V3 outperforms other open-source models and achieves performance comparable to leading closed-source models. Despite its excellent performance, DeepSeek-V3 requires only 2.788M H800 GPU hours for its full training. In addition, its training process is remarkably stable. Throughout the entire training process, we did not experience any irrecoverable loss spikes or perform any rollbacks.",,,Open weights (restricted use),China,,,,2048.0,0.1947,2026-02-19 18:38:27+00:00,,Paper on DeepSeek-V3,,62914560.0,15360 * 4096,Industry,,,7.5928392e+24,2788000.0,Unreleased,"MIT and deepseek license
https://github.com/deepseek-ai/DeepSeek-V3?tab=readme-ov-file

I cannot see training code in this repo https://github.com/deepseek-ai/DeepSeek-V3?tab=readme-ov-file",True,5390000.0,"Table 4: Training metric comparison

""Causal MFU only takes into account the flops of the lower triangle of the attention matrix (in line with FlashAttention), while non-causal MFU includes the flops of the whole attention matrix (in line with Megatron)""

TFLOPS (causal) = 385
H800 maximum FP8 performance = 1979 TFLOPS

therefore MFU = 385/1979 = 0.1947",FP8,,2812492.608768545,"Operation counting,Hardware",deepseek-ai,,,,Yes
Grok 3,"Language,Vision,Multimodal","Chat,Language modeling/generation,Question answering,Code generation,Visual question answering",xAI,,2025-02-17,Grok 3 Beta — The Age of Reasoning Agents,https://x.ai/blog/grok-3,,Training cost,,3000000000000.0,,3.5000000000000006e+26,"Estimate based on a cluster of 80,000 H100s per the xai website and an estimated training time of approximately three months.

Full estimate here: https://docs.google.com/document/d/1MIUFviULJ3YI_XjyzL8cwG0cBRANKNxVEB4DrUcFiNs/edit?usp=sharing",,,2160.0,"Estimated to be approximately 3 months. See compute estimate notes for more details.
",NVIDIA H100 SXM5 80GB,,Likely,"We are pleased to introduce Grok 3, our most advanced model yet: blending strong reasoning with extensive pretraining knowledge. Trained on our Colossus supercluster with 10x the compute of previous state-of-the-art models, Grok 3 displays significant improvements in reasoning, mathematics, coding, world knowledge, and instruction-following tasks. Grok 3's reasoning capabilities, refined through large scale reinforcement learning, allow it to think for seconds to minutes, correcting errors, exploring alternatives, and delivering accurate answers. Grok 3 has leading performance across both academic benchmarks and real-world user preferences, achieving an Elo score of 1402 in the Chatbot Arena. Alongside it, we’re unveiling Grok 3 mini, which represents a new frontier in cost-efficient reasoning. Both models are still in training and will evolve rapidly with your feedback. We are rolling out Grok 3 to users in the coming days, along with an early preview of its reasoning capabilities.",,,API access,United States of America,,,,80000.0,,2026-06-03 15:53:16+00:00,,xAI Memphis Colossus 1,,,,Industry,,2.1e+26,1.1300000000000001e+27,,Unreleased,,True,217835545.5267339,,,True,109948656.20196916,"Hardware,Comparison with other models",,,,,No
DeepSeek-R1,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",DeepSeek,,2025-01-20,DeepSeek-R1: Incentivizing Reasoning Capability in LLMs via Reinforcement Learning,https://api-docs.deepseek.com/news/news250120,,"Training cost,SOTA improvement","Best score on SuperCLUE Math6o in Jan 2025
https://www.superclueai.com/",671000000000.0,"671B total
37B activated
https://github.com/deepseek-ai/DeepSeek-R1/tree/main",3.4999999999999997e+24,"3.29e24 + 1.8e23 = 3.47e24, round to 3.5e24 due to lack of sigfigs",14800000000000,,,,,,Confident,"We introduce our first-generation reasoning models, DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero, a model trained via large-scale reinforcement learning (RL) without supervised fine-tuning (SFT) as a preliminary step, demonstrates remarkable reasoning capabilities.
Through RL, DeepSeek-R1-Zero naturally emerges with numerous powerful and intriguing reasoning behaviors. However, it encounters challenges such as poor readability, and language mixing. To address these issues and further enhance reasoning performance, we introduce DeepSeek-R1, which incorporates multi-stage training and cold-start data before RL. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks. To support the research community, we open-source DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 based on Qwen and Llama.",,,Open weights (unrestricted),China,DeepSeek-V3,1.83e+23,"H800 throughput is 1.5e15 FLOPs, and implied MFU is 23%
147k H800 GPU-hours is 147k * 3600 s/hr * 1.5e15 * 0.23 = 1.83e23 FLOP",,,2026-01-20 03:09:13+00:00,,,,,,Industry,,,,,Unreleased,"MIT licensed
https://huggingface.co/deepseek-ai/DeepSeek-R1",True,6770000.0,,FP8,,,Operation counting,deepseek-ai,,,,Yes
DeepSeek-V3,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering",DeepSeek,"DeepSeek-AI, Aixin Liu, Bei Feng, Bing Xue, Bingxuan Wang, Bochao Wu, Chengda Lu, Chenggang Zhao, Chengqi Deng, Chenyu Zhang, Chong Ruan, Damai Dai, Daya Guo, Dejian Yang, Deli Chen, Dongjie Ji, Erhang Li, Fangyun Lin, Fucong Dai, Fuli Luo, Guangbo Hao, Guanting Chen, Guowei Li, H. Zhang, Han Bao, Hanwei Xu, Haocheng Wang, Haowei Zhang, Honghui Ding, Huajian Xin, Huazuo Gao, Hui Li, Hui Qu, J.L. Cai, Jian Liang, Jianzhong Guo, Jiaqi Ni, Jiashi Li, Jiawei Wang, Jin Chen, Jingchang Chen, Jingyang Yuan, Junjie Qiu, Junlong Li, Junxiao Song, Kai Dong, Kai Hu, Kaige Gao, Kang Guan, Kexin Huang, Kuai Yu, Lean Wang, Lecong Zhang, Lei Xu, Leyi Xia, Liang Zhao, Litong Wang, Liyue Zhang, Meng Li, Miaojun Wang, Mingchuan Zhang, Minghua Zhang, Minghui Tang, Mingming Li, Ning Tian, Panpan Huang, Peiyi Wang, Peng Zhang, Qiancheng Wang, Qihao Zhu, Qinyu Chen, Qiushi Du, R.J. Chen, R.L. Jin, Ruiqi Ge, Ruisong Zhang, Ruizhe Pan, Runji Wang, Runxin Xu, Ruoyu Zhang, Ruyi Chen, S.S. Li, Shanghao Lu, Shangyan Zhou, Shanhuang Chen, Shaoqing Wu, Shengfeng Ye, Shengfeng Ye, Shirong Ma, Shiyu Wang, Shuang Zhou, Shuiping Yu, Shunfeng Zhou, Shuting Pan, T. Wang, Tao Yun, Tian Pei, Tianyu Sun, W.L. Xiao, Wangding Zeng et al. (100 additional authors not shown)",2024-12-24,DeepSeek-V3 Technical Report,https://arxiv.org/abs/2412.19437,,Training cost,training cost was $5.3million USD (Table 1),671000000000.0,Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.,3.3e+24,"6 × 37B × 14.8T = 3.29e24 pretraining FLOPs, 1e22 posttrainining FLOPs - see doc below

https://docs.google.com/document/d/1C4zBvHh4UNnzaorwQSdG61zQJsBV9X3i3A70NeelxHY/edit?usp=sharing",14800000000000,"""We pre-train DeepSeek-V3 on 14.8 trillion diverse and high-quality tokens, followed by Supervised Fine-Tuning and Reinforcement Learning stages to fully harness its capabilities""",,"""DeepSeek-V3 requires only 2.788M H800 GPU hours for its full training""",NVIDIA H800 SXM5,,Confident,"We present DeepSeek-V3, a strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token. To achieve efficient inference and cost-effective training, DeepSeek-V3 adopts Multi-head Latent Attention (MLA) and DeepSeekMoE architectures, which were thoroughly validated in DeepSeek-V2. Furthermore, DeepSeek-V3 pioneers an auxiliary-loss-free strategy for load balancing and sets a multi-token prediction training objective for stronger performance. We pre-train DeepSeek-V3 on 14.8 trillion diverse and high-quality tokens, followed by Supervised Fine-Tuning and Reinforcement Learning stages to fully harness its capabilities. Comprehensive evaluations reveal that DeepSeek-V3 outperforms other open-source models and achieves performance comparable to leading closed-source models. Despite its excellent performance, DeepSeek-V3 requires only 2.788M H800 GPU hours for its full training. In addition, its training process is remarkably stable. Throughout the entire training process, we did not experience any irrecoverable loss spikes or perform any rollbacks.",,,Open weights (restricted use),China,,,,2048.0,0.1947,2026-02-19 18:38:32+00:00,,Paper on DeepSeek-V3,,62914560.0,15360 * 4096,Industry,,,7.5928392e+24,2788000.0,Unreleased,"MIT and deepseek license
https://github.com/deepseek-ai/DeepSeek-V3?tab=readme-ov-file

I cannot see training code in this repo https://github.com/deepseek-ai/DeepSeek-V3?tab=readme-ov-file",True,5390000.0,"Table 4: Training metric comparison

""Causal MFU only takes into account the flops of the lower triangle of the attention matrix (in line with FlashAttention), while non-causal MFU includes the flops of the whole attention matrix (in line with Megatron)""

TFLOPS (causal) = 385
H800 maximum FP8 performance = 1979 TFLOPS

therefore MFU = 385/1979 = 0.1947",FP8,,2818135.181214284,"Operation counting,Hardware",deepseek-ai,,,,Yes
